BJD - 2454833, Corrected Flux
1998.205478775, 1.000090882,
1998.225910766, 1.000018911,
1998.246342657, 0.999959487,
1998.266774448, 1.000131426,
1998.287206438, 1.000076957,
1998.307638328, 1.000049172,
1998.348502107, 0.999952303,
1998.368933896, 1.000690652,
1998.389365885, 0.999611450,
1998.450661450, 0.999338046,
1998.471093437, 0.999143558,
1998.491525324, 0.999044056,
1998.511957211, 0.999104084,
1998.532389098, 0.999265582,
1998.552820984, 0.999240037,
1998.573252970, 0.999099335,
1998.593684756, 0.999086086,
1998.614116642, 0.999178120,
1998.634548627, 0.999155117,
1998.695844280, 0.998920116,
1998.716276064, 0.998840116,
1998.736707948, 0.998877624,
1998.757139931, 0.998882204,
1998.777571714, 0.998712105,
1998.798003597, 0.998770527,
1998.818435579, 0.998398949,
1998.838867362, 0.998743799,
1998.859299243, 0.998543888,
1998.879731225, 0.998249397,
1998.900163106, 0.998395188,
1998.920594987, 0.998328892,
1998.941026868, 0.998306565,
1998.961458748, 0.998274527,
